deltaVLTM_mps,deltaVLCM_mps,totalDV_mps,R_LCM_km,V_LCM_kmps,R_30d_km,V_30d_kmps
1098.46024235878,20.463359597671,1118.92360195645,22311.3782458287,0.0123411445809135,0.277013958561166,0.00891352243811866
1106.72615381647,18.6119667368031,1125.33812055327,20283.7373295471,0.0120202351028876,0.264978173996396,0.0081569189944761
1091.08565428091,14.6175079791918,1105.7031622601,16409.2027150278,0.0100864360742242,0.156777969507457,0.00655662298665247
1090.79955662163,18.4998669814439,1109.29942360308,19727.1039929828,0.0115273134181503,0.209028606574262,0.00776373878406473
1092.859551364,18.4518068716439,1111.31135823564,20249.5903043348,0.0111030860581024,0.218791988049951,0.00799857134146837
1102.03353948013,15.1544536228712,1117.187993103,16306.6289911305,0.0108817310183487,0.160149373659201,0.0065591289444719
1088.33613994441,19.7510827675745,1108.08722271198,19678.2454731569,0.012982145749076,0.210916620638371,0.00770701993304591
1098.1176605906,15.2097111206349,1113.32737171123,19210.2149561477,0.00817746324927919,0.204142130740265,0.00767810884229318
1092.93322655764,21.980352004474,1114.91357856211,21720.8753921893,0.0147322214744695,0.272678060440703,0.00867611368216461
1107.61156662985,24.9983866492496,1132.6099532791,23064.8143161698,0.0173844232102734,0.34246669007754,0.00922893523310369
1096.2047803674,10.9600476375864,1107.16482800499,14091.2129820665,0.0076479969545649,0.103783580169218,0.00561063155319676
1095.43982681467,9.02302137770074,1104.46284819237,15210.5369339288,0.0040489905845579,0.133738140026229,0.00609545511433047
1092.5969808874,25.4960865886633,1118.09306747607,24318.9211183565,0.016426770710714,0.317516635567245,0.00956793913732518
1103.78249905404,15.3474535417853,1119.12995259583,15228.4367501887,0.0114379104244101,0.140787970944288,0.00603352295601819
1103.78801788239,18.6673352642764,1122.45535314666,21216.142856728,0.0113216386337042,0.279710309454963,0.00853864344230809
1101.02005889221,30.2406987406151,1131.26075763282,28175.324094423,0.0200904609476128,0.454708269383403,0.0112771254818939
1086.94216787126,23.2591793007134,1110.20134717197,21275.28588936,0.0160013543389837,0.245458248288538,0.00834913190770118
1097.946911767,10.978877545391,1108.92578931239,16448.7909716682,0.00554192205256455,0.164885368525509,0.00661392685568364
1100.1433918762,17.1685404352367,1117.31193231144,20418.5315202495,0.00994470399051155,0.248029839964764,0.00820060039863831
1093.31362319338,13.2798285487965,1106.59345174217,16760.2033318671,0.00739871628723028,0.152056489317221,0.0065819012963447
1093.02529448876,33.9567546668127,1126.98204915558,29350.5462892269,0.0228131608273057,0.466812648127293,0.0115171693660719
1096.04792482616,21.1015822444279,1117.14950707059,22381.8068930755,0.0128960174193289,0.270468273938571,0.00889773748161037
1110.73713085575,26.1271768339958,1136.86430768975,24544.3943949401,0.0178364146927952,0.391490595857927,0.00983827905213014
1095.41757205982,12.7501972581203,1108.16776931794,17028.9116926268,0.007306387742349,0.171595626931179,0.00682958733335098
1092.08832050742,9.05636352690683,1101.14468403432,14457.3401750028,0.004827998203997,0.112365162034,0.00573686715001721
1088.47857170035,12.6475790633899,1101.12615076374,10032.503370363,0.0118028568431601,0.0642953929597529,0.00403343035370998
1104.86761139015,21.0384039020742,1125.90601529223,22634.1082388033,0.0131926379982589,0.321742839256376,0.00911123147150194
1096.61882035318,8.96919365745484,1105.58801401063,15028.8769545192,0.00400137114440714,0.122242271306297,0.00600232974985722
1101.51518451802,23.4050455511836,1124.92023006921,24236.9955096065,0.0146862778034756,0.340284498226942,0.00971765623386382
1099.71933814063,17.5970659433319,1117.31640408396,20452.8043799884,0.0101765854170688,0.227335881513027,0.00816890505696282
1098.5009088662,13.3101339030783,1111.81104276928,18099.1132361061,0.00687314875718259,0.191338708346232,0.00726228966421804
1101.66223904134,15.6683176302575,1117.33055667159,19336.0385644445,0.00893661461854122,0.21892663563086,0.00776623517159207
1103.84646670135,17.6502998599805,1121.49676656133,20440.6399016538,0.0106421087082159,0.254430852560834,0.00822282765632061
1097.82017418146,12.2836990058422,1110.1038731873,17011.0471139083,0.00636834603162644,0.156026221865289,0.00679147804873589
1096.93543435892,13.998069892627,1110.93350425154,16963.211632959,0.00911072381054041,0.185055876173699,0.00683164615067393
1103.53962152977,18.1821111053791,1121.72173263515,20895.9602001798,0.0109753317976576,0.272578497361397,0.00841062915512794
1101.78557624377,14.9345082825159,1116.72008452629,17481.1714712256,0.00973966101216631,0.200089430023464,0.00702627648805281
1096.13893769699,17.27685819601,1113.415795893,19943.3997279345,0.0104039658295768,0.229859689599813,0.00798373028893824
1104.98596747769,22.2594364109177,1127.24540388861,23438.1721537639,0.0140822119753698,0.342694808145929,0.00943350155256663
1100.75315947214,9.57834431349343,1110.33150378563,14162.5779867431,0.00632224836527633,0.129877276780424,0.00569264512315925
1097.82009321663,15.4603753551649,1113.28046857179,19338.0417447089,0.00836834265479566,0.205831558690307,0.00772411931569255
1100.21765970714,18.089765395806,1118.30742510294,21024.0359648911,0.0104731131121858,0.250976062319648,0.00842244038313605
1091.57949044238,13.6505703565326,1105.23006079891,17057.2696218087,0.00767042641941835,0.156661335082232,0.00670265997197849
1096.7287410772,12.7363301266935,1109.46507120389,17370.5563559011,0.0064530170427616,0.160378122621364,0.00691484019546485
1091.12595883578,21.3521250718425,1112.47808390762,20734.1371613761,0.0135266947178988,0.268459017504898,0.00801928901000233
1096.73346155656,9.69672744745025,1106.43018900401,14212.4855592808,0.00646580585993196,0.130659778524823,0.0057242513879544
1091.63478954831,9.36110091366923,1100.99589046198,14499.8462593272,0.00485339354757407,0.112252886266286,0.00570943214535822
1094.64867381368,14.3334694386104,1108.98214325229,18107.9378147105,0.00812580558969241,0.183456017993856,0.00722808709389139
1096.48870568386,15.1602034259689,1111.64890910983,19023.4030867561,0.00828412353671227,0.200472838702258,0.00759561248291815
1092.14046289228,19.464944879554,1111.60540777183,20523.2197643262,0.0117771381128229,0.232406779763638,0.00803160090560947
1091.53730124935,22.4875531999086,1114.02485444925,22146.564969729,0.0147221064728601,0.266239672419086,0.00877178325092984
1096.29347870986,10.9327675149312,1107.22624622479,14206.9401252467,0.00751879426018248,0.105609783601524,0.00565756908665672
