Time (s),Station ID,Range rate (km/s)
1220,4,2.470989449
1230,4,2.471037956
1240,4,2.47108624
1250,4,2.471135251
1260,4,2.471182641
1270,4,2.471234317
1280,4,2.471279898
1290,4,2.471328553
1300,4,2.47137807
1310,4,2.471426225
1320,4,2.471473472
1330,4,2.471521706
1340,4,2.471569597
1350,4,2.471621117
1360,4,2.471669485
1370,4,2.471716384
1380,4,2.471765186
1390,4,2.471812851
1400,4,2.471861225
1410,4,2.471908368
1420,4,2.471956914
1430,4,2.472005703
1440,4,2.472053469
1450,4,2.472104467
1460,4,2.472151498
1470,4,2.472198773
1480,4,2.472247338
1490,4,2.472295038
1500,4,2.472343948
1510,4,2.472392819
1520,4,2.472439014
1530,4,2.472487536
1540,4,2.472534751
1550,4,2.472584854
1560,4,2.472630575
1570,4,2.472679714
1580,4,2.472727568
1590,4,2.472775025
1600,4,2.47282218
1610,4,2.472871472
1620,4,2.472918797
1630,4,2.472967432
1640,4,2.47301404
1650,4,2.473062225
1660,4,2.473109785
1670,4,2.473156973
1680,4,2.473204998
1690,4,2.473252524
1700,4,2.473299897
1710,4,2.473350867
1720,4,2.473396232
1730,4,2.473444772
1740,4,2.473491351
1750,4,2.47353771
1760,4,2.473587544
1770,4,2.473635949
1780,4,2.473679639
1790,4,2.473728197
1800,4,2.473775225
1810,4,2.473823948
1820,4,2.47387017
1830,4,2.47391858
1840,4,2.473965388
1850,4,2.474012312
1860,4,2.474061104
1870,4,2.474108219
1880,4,2.474155591
1890,4,2.474203657
1900,4,2.474248798
1910,4,2.474297313
1920,4,2.474344537
1930,4,2.474391643
1940,4,2.474438218
1950,4,2.474486971
1960,4,2.474534531
1970,4,2.474581991
1980,4,2.474626725
1990,4,2.474676127
2000,4,2.474719123
2010,4,2.4747687
2020,4,2.474817158
2030,4,2.474862232
2040,4,2.474907995
2050,4,2.474957113
2060,4,2.47500331
2070,4,2.475051304
2080,4,2.475097595
2090,4,2.475144908
2100,4,2.475190432
2110,4,2.475237972
2120,4,2.475284006
2130,4,2.475331925
2140,4,2.475378145
2150,4,2.475426947
2160,4,2.475472842
2170,4,2.475518841
2180,4,2.47556491
2190,4,2.475613255
2200,4,2.475658062
2210,4,2.475704364
2220,4,2.475752061
2230,4,2.475798092
2240,4,2.475845245
2250,4,2.475890632
2260,4,2.475938086
2270,4,2.475982166
2280,4,2.476030658
2290,4,2.476077327
2300,4,2.476124553
2310,4,2.476171046
2320,4,2.476215024
2330,4,2.476262974
2340,4,2.476310435
2350,4,2.476356592
2360,4,2.476399978
2370,4,2.476447531
2380,4,2.476493394
2390,4,2.476540752
2400,4,2.476586271
2410,4,2.476632711
2420,4,2.476678572
2430,4,2.476724293
2440,4,2.476769754
2450,4,2.476817298
2460,4,2.476863005
2470,4,2.476910192
2480,4,2.476955227
2490,4,2.476999683
2500,4,2.477047742
2510,4,2.477093478
2520,4,2.477140514
2530,4,2.477185641
2540,4,2.477231031
2550,4,2.47727739
2560,4,2.47732377
2570,4,2.477370315
2580,4,2.477414839
2590,4,2.477459915
2600,4,2.477507031
2610,4,2.477553016
2620,4,2.477597869
2630,4,2.477642723
2640,4,2.477688398
2650,4,2.477733653
2660,4,2.477780913
2670,4,2.477827769
2680,4,2.477871744
2690,4,2.477916125
2700,4,2.477962951
2710,4,2.478006832
2720,4,2.478053537
2730,4,2.478099417
2740,4,2.478144645
2750,4,2.478189713
2760,4,2.47823326
2770,4,2.478279652
2780,4,2.478326332
2790,4,2.478372928
2800,4,2.478415402
2810,4,2.478460255
2820,4,2.478505961
2830,4,2.47855052
2840,4,2.478596658
2850,4,2.478644631
2860,4,2.478686464
2870,4,2.478730834
2880,4,2.478778218
2890,4,2.478823439
2900,4,2.47886561
2910,4,2.47891302
2920,4,2.478957649
2930,4,2.47900196
2940,4,2.479048081
2950,4,2.479094842
2960,4,2.479136256
2970,4,2.479181536
