Time (s),Station ID,Range (km),Range Rate (km/s)
521770,3,58941764.35,2.438334965
521780,3,58941788.74,2.438547368
521790,3,58941813.12,2.438760004
521800,3,58941837.51,2.438972335
521810,3,58941861.9,2.439184635
521820,3,58941886.29,2.439396807
521830,3,58941910.69,2.439608763
521840,3,58941935.09,2.439820928
521850,3,58941959.49,2.440032877
521860,3,58941983.89,2.440244891
521870,3,58942008.29,2.4404565
521880,3,58942032.7,2.440668076
521890,3,58942057.1,2.440879495
521900,3,58942081.52,2.441090909
521910,3,58942105.93,2.441302359
521920,3,58942130.34,2.441513392
521930,3,58942154.76,2.441724404
521940,3,58942179.17,2.441935508
521950,3,58942203.59,2.442146457
521960,3,58942228.02,2.44235729
521970,3,58942252.44,2.442568009
521980,3,58942276.87,2.442778517
521990,3,58942301.3,2.442988953
522000,3,58942325.73,2.443199424
522010,3,58942350.16,2.443409629
522020,3,58942374.6,2.443619833
522030,3,58942399.03,2.443830101
522040,3,58942423.47,2.444039877
522050,3,58942447.91,2.444249853
522060,3,58942472.36,2.444459617
522070,3,58942496.8,2.444669395
522080,3,58942521.25,2.444878904
522090,3,58942545.7,2.445088369
522100,3,58942570.16,2.445297704
522110,3,58942594.61,2.44550696
522120,3,58942619.06,2.445716238
522130,3,58942643.52,2.445925342
522140,3,58942667.98,2.446133996
522150,3,58942692.45,2.446342988
522160,3,58942716.91,2.44655158
522170,3,58942741.37,2.446760324
522180,3,58942765.84,2.446968796
522190,3,58942790.32,2.447177267
522200,3,58942814.79,2.447385617
522210,3,58942839.26,2.447593784
522220,3,58942863.74,2.447801815
522230,3,58942888.22,2.448010023
522240,3,58942912.7,2.448217701
522250,3,58942937.18,2.448425496
522260,3,58942961.67,2.448633351
522270,3,58942986.15,2.448840833
522280,3,58943010.65,2.449048336
522290,3,58943035.14,2.449255604
522300,3,58943059.63,2.449463094
522310,3,58943084.13,2.449670232
522320,3,58943108.62,2.449877225
522330,3,58943133.13,2.450084331
522340,3,58943157.62,2.450291271
522350,3,58943182.13,2.450497792
522360,3,58943206.63,2.450704344
522370,3,58943231.14,2.45091092
522380,3,58943255.65,2.451117257
522390,3,58943280.17,2.451323625
522400,3,58943304.68,2.451529933
522410,3,58943329.2,2.451736068
522420,3,58943353.71,2.451941907
522430,3,58943378.23,2.452147978
522440,3,58943402.76,2.452353682
522450,3,58943427.28,2.452559175
522460,3,58943451.81,2.452765036
522470,3,58943476.34,2.452970358
522480,3,58943500.87,2.45317565
522490,3,58943525.4,2.453381152
522500,3,58943549.94,2.453586068
522510,3,58943574.47,2.453791197
522520,3,58943599.01,2.453996011
522530,3,58943623.55,2.454200976
522540,3,58943648.1,2.454405724
522550,3,58943672.64,2.454610175
522560,3,58943697.19,2.45481463
522570,3,58943721.74,2.455018988
522580,3,58943746.29,2.455223341
522590,3,58943770.84,2.455427513
522600,3,58943795.4,2.455631585
522610,3,58943819.95,2.455835411
522620,3,58943844.52,2.456039299
522630,3,58943869.08,2.456242889
522640,3,58943893.64,2.45644672
522650,3,58943918.2,2.456650286
522660,3,58943942.77,2.456853639
522670,3,58943967.34,2.457056872
522680,3,58943991.91,2.457260107
522690,3,58944016.49,2.45746322
522700,3,58944041.06,2.457666172
522710,3,58944065.64,2.457869113
522720,3,58944090.22,2.458071668
522730,3,58944114.8,2.458274305
522740,3,58944139.38,2.458476699
522750,3,58944163.97,2.458679094
522760,3,58944188.56,2.458881588
522770,3,58944213.15,2.459083734
522780,3,58944237.74,2.459285734
522790,3,58944262.34,2.459487849
522800,3,58944286.93,2.459689659
522810,3,58944311.53,2.459891379
522820,3,58944336.13,2.460093144
522830,3,58944360.73,2.460294595
522840,3,58944385.33,2.460496015
522850,3,58944409.94,2.46069714
522860,3,58944434.55,2.460898642
522870,3,58944459.16,2.461099567
522880,3,58944483.77,2.461300401
522890,3,58944508.38,2.461501324
522900,3,58944533,2.461701853
522910,3,58944557.62,2.461902582
522920,3,58944582.24,2.462103162
522930,3,58944606.86,2.462303551
522940,3,58944631.48,2.462503947
522950,3,58944656.11,2.462704095
522960,3,58944680.74,2.462904137
522970,3,58944705.37,2.46310401
522980,3,58944730,2.463303924
522990,3,58944754.63,2.463503621
523000,3,58944779.27,2.463703314
523010,3,58944803.91,2.463902647
523020,3,58944828.55,2.464102001
523030,3,58944853.19,2.464301461
523040,3,58944877.83,2.464500518
523050,3,58944902.48,2.464699586
523060,3,58944927.13,2.464898521
523070,3,58944951.78,2.465097235
523080,3,58944976.43,2.4652959
523090,3,58945001.08,2.465494671
523100,3,58945025.74,2.465693022
523110,3,58945050.4,2.465891281
523120,3,58945075.06,2.466089434
523130,3,58945099.72,2.466287732
523140,3,58945124.38,2.466485803
523150,3,58945149.05,2.466683849
523160,3,58945173.72,2.466881423
523170,3,58945198.39,2.467079094
523180,3,58945223.06,2.467276718
523190,3,58945247.73,2.467474235
523200,3,58945272.41,2.46767154
523210,3,58945297.09,2.467868559
523220,3,58945321.77,2.468065984
523230,3,58945346.45,2.468262943
523240,3,58945371.13,2.468459642
523250,3,58945395.82,2.468656335
523260,3,58945420.5,2.468852919
523270,3,58945445.2,2.46904963
523280,3,58945469.89,2.469246088
523290,3,58945494.58,2.469442375
523300,3,58945519.27,2.4696384
523310,3,58945543.97,2.469834364
523320,3,58945568.67,2.470030317
523330,3,58945593.37,2.470226154
523340,3,58945618.08,2.470421849
523350,3,58945642.78,2.470617565
523360,3,58945667.49,2.47081291
523370,3,58945692.2,2.471008252
523380,3,58945716.91,2.471203659
523390,3,58945741.62,2.471398774
523400,3,58945766.34,2.471593708
523410,3,58945791.05,2.471788526
523420,3,58945815.77,2.471983127
523430,3,58945840.49,2.472177894
523440,3,58945865.21,2.472372379
523450,3,58945889.94,2.472566691
523460,3,58945914.67,2.472761148
523470,3,58945939.39,2.472955237
523480,3,58945964.12,2.473149209
523490,3,58945988.86,2.473343296
523500,3,58946013.59,2.473537163
523510,3,58946038.33,2.473730769
523520,3,58946063.07,2.473924489
523530,3,58946087.81,2.474117868
523540,3,58946112.55,2.474310982
523550,3,58946137.29,2.474504362
523560,3,58946162.04,2.474697411
523570,3,58946186.79,2.474890466
523580,3,58946211.54,2.475083471
523590,3,58946236.29,2.475276035
523600,3,58946261.04,2.475468577
523610,3,58946285.8,2.475661238
523620,3,58946310.56,2.475853465
523630,3,58946335.32,2.476045974
523640,3,58946360.08,2.476237928
523650,1,58948458.42,1.890895574
523660,1,58948477.32,1.89097477
523670,1,58948496.24,1.891054443
523680,1,58948515.15,1.891134221
523690,1,58948534.06,1.891213921
523700,1,58948552.97,1.891294109
523710,1,58948571.89,1.891374291
523720,1,58948590.8,1.89145487
523730,1,58948609.71,1.891535414
523740,1,58948628.63,1.89161622
523750,1,58948647.55,1.891697087
523760,1,58948666.46,1.891778549
523770,1,58948685.38,1.891859703
523780,1,58948704.3,1.891941344
523790,1,58948723.22,1.89202318
523800,1,58948742.14,1.892105103
523810,1,58948761.06,1.892187235
523820,1,58948779.98,1.892269638
523830,1,58948798.91,1.892352162
523840,1,58948817.83,1.892434743
523850,1,58948836.76,1.89251771
523860,1,58948855.68,1.892600921
523870,1,58948874.61,1.892684032
523880,1,58948893.54,1.892767498
523890,1,58948912.46,1.892851381
523900,1,58948931.39,1.892935127
523910,1,58948950.32,1.893019384
523920,1,58948969.25,1.893103485
523930,1,58948988.18,1.893187706
523940,1,58949007.12,1.893272525
523950,1,58949026.05,1.893356974
523960,1,58949044.98,1.89344233
523970,1,58949063.92,1.893527238
523980,1,58949082.85,1.893612766
523990,1,58949101.79,1.893698197
524000,1,58949120.73,1.893784001
524010,1,58949139.67,1.893869705
524020,1,58949158.61,1.893955936
524030,1,58949177.55,1.894042246
524040,1,58949196.49,1.894128731
524050,1,58949215.43,1.89421535
524060,1,58949234.37,1.894302434
524070,1,58949253.31,1.894389342
524080,1,58949272.26,1.894476632
524090,1,58949291.21,1.894564093
524100,1,58949310.15,1.894651685
524110,1,58949329.1,1.894739537
524120,1,58949348.04,1.894827489
524130,1,58949366.99,1.894915645
524140,1,58949385.94,1.895003984
524150,1,58949404.89,1.895092562
524160,1,58949423.84,1.895181117
524170,1,58949442.8,1.89527017
524180,1,58949461.75,1.895359446
524190,1,58949480.7,1.89544868
524200,1,58949499.66,1.895538007
524210,1,58949518.61,1.89562781
524220,1,58949537.57,1.895717716
524230,1,58949556.53,1.895807893
524240,1,58949575.49,1.895897855
524250,1,58949594.45,1.895988275
524260,1,58949613.41,1.896079059
524270,1,58949632.37,1.8961698
524280,1,58949651.33,1.896260905
524290,1,58949670.3,1.8963519
524300,1,58949689.26,1.89644352
524310,1,58949708.22,1.896535091
524320,1,58949727.19,1.896626608
524330,1,58949746.15,1.896718538
524340,1,58949765.12,1.896810661
524350,1,58949784.09,1.896902876
